基金統編,nav_now,nav_1y,nav_3y,nav_5y,R1y,R3y,R5y,score,基金名稱
18480065,387.53,229.24,100.25,87.91,69.04990403071017,286.56359102244386,340.8258446138095,188.65919824485013,安聯台灣科技基金
42532205,51.05,32.18,12.79,12.38,58.63890615288998,299.1399530883503,312.3586429725363,181.53316759745732,路博邁台灣5G股票基金T累積級別(新臺幣)
73990253,418.62,269.96,122.41,84.99,55.06741739516967,241.98186422677884,392.5520649488176,178.638680955382,統一奔騰基金
00968493,137.66,83.1,38.26,31.53,65.65583634175694,259.80135912179827,336.60006343165236,178.08833859374843,野村鴻運基金
00988316,224.42,135.19,62.08,58.19,66.00340261853688,261.5012886597938,285.66764048805635,168.58561600481784,野村台灣運籌基金
94991068,209.0,129.81,52.15,61.73,61.00454510438333,300.7670182166827,238.57119714887415,168.4466174469713,富邦新台商基金
17600534,65.34,40.52,17.61,17.18,61.25370187561698,271.0391822827939,280.325960419092,168.00379770646506,野村高科技基金
18037937,119.27,72.76,32.73,32.18,63.922484881803165,264.4057439657807,270.6339341205718,165.40975245475016,野村ｅ科技基金
17146752,205.71,127.15,60.88,54.35,61.7852929610696,237.89421813403416,278.491260349586,157.95916399066226,野村成長基金
48934304,107.74,70.29,32.74,28.29,53.27927158913073,229.0775809407452,280.8412866737363,151.5311674115362,統一台灣動力基金-A類型
01031564,83.83,53.67,25.63,23.09,56.195267374697224,227.0776433866563,263.05760069294064,148.83244684193363,野村積極成長基金
18488469,290.38,186.2,92.02,77.16,55.950590762620855,215.56183438382962,276.3348885432867,147.91082340511664,野村中小基金-累積類型
48997911,219.75,142.31,67.63,61.31,54.41641486894806,224.929764897235,258.4244005871799,146.37201702108052,安聯台灣智慧基金
81581724,225.0,140.81,71.25,64.3,59.78978765712662,215.78947368421052,249.92223950233284,144.61618383429303,統一經建基金-A類型
92002244,352.68,231.42,122.05,88.07,52.398236971739706,188.96353953297827,300.4541841716817,142.97901718009967,統一黑馬基金
77537493,151.23,100.84,45.84,44.18,49.97024990083298,229.90837696335075,242.30421004979627,142.41848004938097,統一統信基金
17604124,164.4,104.07,51.27,49.66,57.970596713750375,220.65535400819192,231.05114780507452,141.39213412034766,安聯台灣大壩基金-A類型-新臺幣
20089755,63.09,41.45,20.47,17.63,52.20747889022918,208.20713238886177,257.8559273964833,140.1370646410698,富邦精銳中小基金-A類型
92003102,329.33,232.25,101.57,93.01,41.799784714747034,224.23944077975779,254.08020642941614,138.98776587718407,瀚亞高科技基金
80892778,101.93,58.77,32.19,35.97,73.43882933469456,216.65113389251323,183.37503475118154,138.38976178533756,街口中小型基金
14694495,102.35,59.0,33.8,34.83,73.47457627118644,202.81065088757396,193.8558713752512,136.35165767691564,街口台灣基金
77713842,36.31,21.82,12.29,11.49,66.4069660861595,195.44344995931655,216.01392515230637,135.039303061336,合庫台灣高科技基金
19291128,96.51,61.68,31.83,29.6,56.46887159533074,203.20452403393028,226.0472972972973,134.4052524673039,國泰大中華基金
25612029,97.67,60.51,32.76,30.49,61.41133696909602,198.13797313797315,220.33453591341424,134.2139676086228,凱基台灣精五門基金
48858663,96.54,62.68,30.31,31.38,54.020421186981494,218.50874298911256,207.64818355640537,134.0924702015056,台新主流基金
26310297,100.38,67.95,31.76,31.08,47.72626931567328,216.0579345088161,222.97297297297297,133.27510960507607,富蘭克林華美台股傘型基金之高科技基金
88090934,44.93,31.81,15.54,12.02,41.244891543539765,189.12483912483916,273.79367720465893,132.11863295015343,國泰台灣高股息傘型基金之台灣高股息基金-新台幣TISA
